key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
9bb0239e,9bb0239e-ebf5-424b-9bcf-cde96db341dc,657786,vastj001,vastoje01,vasto-000jer,17126,,,,,,Vasto,Jerry,Gerard Joseph,,,,1992,2,12,,,,2014,2018,2018,2018,2011,2014,,,,,,,,,,
9bbda06d,9bbda06d-e47e-4122-aa37-458d9ac6b3a5,572070,richg002,richaga01,richar001gar,9784,,,,,Q421484,Richards,Garrett,Garrett Thomas,,,,1988,5,27,,,,2009,2022,2011,2022,2007,2009,,,,,,,,,,
9bc273c8,9bc273c8-d55d-4387-96a5-1d105f4f1d3c,666200,luzaj001,luzarje01,luzard000jes,19959,,,,,Q52714266,Luzardo,Jesús,Jesús Guillermo,,,,1997,9,30,,,,2017,2024,2019,2024,,,,,,,,,,,,
9bd361f7,9bd361f7-23d1-4187-a27d-04983d8f8a83,518961,luekj001,luekejo01,lueke-001jos,5722,53955132,,,,Q3185988,Lueke,Josh,Joshua William,,,,1984,12,5,,,,2007,2023,2011,2014,,,,,,,,,,,,
9bdf7dcc,9bdf7dcc-fae0-4ae2-9152-259f932647ae,533167,shoem001,shoemma01,shoema002mat,4776,93295155,,,,Q6789330,Shoemaker,Matt,Matthew David,,,,1986,9,27,,,,2008,2022,2013,2021,,,,,,,,,,,,
9be33d9b,9be33d9b-f8c9-435d-a628-c3184665417f,429667,howar001,howarry01,howard001rya,2154,,,,,Q705213,Howard,Ryan,Ryan James,,,,1979,11,19,,,,2001,2017,2004,2016,1999,2001,,,,,,,,,,
9bf5560e,9bf5560e-8c18-4843-81ee-1a7c7c38240d,658648,avilp001,avilape01,avila-003ped,18864,,,,,Q64978827,Avila,Pedro,Pedro Manuel,,Puentes,,1997,1,14,,,,2015,2024,2019,2024,,,,,,,,,,,,
9bfa6400,9bfa6400-811b-4219-b693-71c988e60403,682073,hensd002,henslda01,hensle000dav,25111,,,,,Q113861497,Hensley,David,David James,,,,1996,3,28,,,,2018,2024,2022,2024,2015,2018,,,,,,,,,,
9c0c0734,9c0c0734-b1b0-41c4-aaeb-45971e6de63b,676440,bibet001,bibeeta01,bibee-000tan,30134,,,,,Q116936733,Bibee,Tanner,Tanner Hayes,,,,1999,3,5,,,,2022,2024,2023,2024,2018,2021,,,,,,,,,,
9c2fa2bd,9c2fa2bd-1dc0-455e-b774-4196e34d8248,641302,alext001,alexaty01,alexan000tyl,17735,,,,,Q65029087,Alexander,Tyler,Tyler John,,,,1994,7,14,,,,2015,2024,2019,2024,2014,2015,,,,,,,,,,
9c316d7f,9c316d7f-2850-4292-9021-e1c6a0ee525d,474463,andeb004,anderbr04,anders001bre,8223,,,,,Q2924593,Anderson,Brett,Brett Franklin,,,,1988,2,1,,,,2007,2021,2009,2021,,,,,,,,,,,,
9c38fff5,9c38fff5-1a7a-4290-8134-9fbb69137d78,663586,rilea001,rileyau01,riley-000aus,18360,,,,,Q50345041,Riley,Austin,Michael Austin,,,,1997,4,2,,,,2015,2024,2019,2024,,,,,,,,,,,,
9c455a26,9c455a26-6d02-41ee-868c-947c47c67428,592836,walkt004,walketa01,walker001tai,11836,,,,,Q4845441,Walker,Taijuan,Taijuan Emmanuel,,,,1992,8,13,,,,2010,2024,2013,2024,,,,,,,,,,,,
9c489b70,9c489b70-b39c-4f38-a2b3-bde756133088,592238,cumpb001,cumptbr01,cumpto001bra,11366,,,,,Q13582730,Cumpton,Brandon,Brandon Tyler,,,,1988,11,16,,,,2010,2021,2013,2018,2008,2010,,,,,,,,,,
9c5a80d6,9c5a80d6-f172-4c32-b711-2b1d0b62cc1a,642098,sparg001,sparkgl01,sparkm000gle,15200,53055153,,,,Q30099716,Sparkman,Glenn,Glenn Michael,,,,1992,5,11,,,,2013,2022,2017,2020,,,,,,,,,,,,
9c719b66,9c719b66-114c-4b03-90f8-f1e72e813970,502143,valed001,valenda01,valenc001dan,6364,,,,,Q864901,Valencia,Danny,Daniel Paul,,,,1984,9,19,,,,2006,2021,2010,2018,2004,2006,,,,,,,,,,
